date,festival,festival_type,is_national_holiday,observed_in
2024-09-15,Onam,religious_hindu,False,KL
2024-09-16,Prophet's Birthday,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-10-02,Mahatma Gandhi's Birthday,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-10-12,Dussehra,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-10-31,Diwali (Deepavali),religious_hindu,True,"DL,IN,KA,KL,MH,TN,UP,WB"
2024-10-31,Diwali (Deepavali); Sardar Vallabhbhai Patel Jayanti,religious_hindu,True,GJ
2024-11-01,Karnataka Rajyotsava,other_holiday,False,KA
2024-11-01,Kerala Foundation Day,other_holiday,False,KL
2024-11-02,Gujarati New Year,other_holiday,False,GJ
2024-11-07,Chhath Puja,religious_hindu,False,UP
2024-11-15,Guru Nanak's Birthday,religious_sikh,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2024-12-25,Christmas,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-01-14,Pongal,religious_hindu,False,TN
2025-01-14,Uttarayan,other_holiday,False,GJ
2025-01-15,Thiruvalluvar Day / Mattu Pongal,religious_hindu,False,TN
2025-01-16,Uzhavar Thirunal,other_holiday,False,TN
2025-01-24,UP Formation Day,other_holiday,False,UP
2025-01-26,Republic Day,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-02-19,Chhatrapati Shivaji Maharaj Jayanti,other_holiday,False,MH
2025-02-26,Maha Shivaratri,other_holiday,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-03-14,Holi,religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-03-30,Gudi Padwa,religious_hindu,False,MH
2025-03-30,Ugadi,religious_hindu,False,KA
2025-03-31,Eid al-Fitr,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-04-10,Mahavira's Birthday,religious_jain,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-04-14,Dr. B. R. Ambedkar's Birthday,other_holiday,True,"DL,GJ,IN,KA,KL,MH,UP,WB"
2025-04-14,Dr. B. R. Ambedkar's Birthday; Puthandu (Tamil New Year),other_holiday,True,TN
2025-04-15,Pohela Boishakh,other_holiday,False,WB
2025-04-18,Good Friday,religious_christian,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-05-01,Gujarat Day,other_holiday,False,GJ
2025-05-01,Maharashtra Day,other_holiday,False,MH
2025-05-09,Rabindra Jayanti,other_holiday,False,WB
2025-05-12,Buddha Purnima,religious_buddhist,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-06-07,Eid al-Adha,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-07-06,Ashura,religious_islamic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-08-15,Independence Day,national_civic,True,"DL,IN,KA,KL,TN,UP,WB"
2025-08-15,Independence Day; Parsi New Year (Shahenshahi),national_civic,True,"GJ,MH"
2025-08-16,Janmashtami (Vaishnava),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-08-27,Ganesh Chaturthi,religious_hindu,False,MH
2025-09-05,Onam; Prophet's Birthday,religious_islamic,True,KL
2025-09-05,Prophet's Birthday,religious_islamic,True,"DL,GJ,IN,KA,MH,TN,UP,WB"
2025-10-02,Dussehra; Mahatma Gandhi's Birthday,national_civic,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-10-20,Diwali (Deepavali),religious_hindu,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
2025-10-22,Gujarati New Year,other_holiday,False,GJ
2025-10-28,Chhath Puja,religious_hindu,False,UP
2025-10-31,Sardar Vallabhbhai Patel Jayanti,other_holiday,False,GJ
2025-11-01,Karnataka Rajyotsava,other_holiday,False,KA
2025-11-01,Kerala Foundation Day,other_holiday,False,KL
2025-11-05,Guru Nanak's Birthday,religious_sikh,True,"DL,GJ,IN,KA,KL,MH,TN,UP,WB"
